event_date,event_date,event_name,event_time,user_id
30 Sept 2023,1,6,"17,142,229,592,770,246","2,942"
1 Oct 2023,1,6,"15,116,208,042,180,660","2,692"
2 Oct 2023,1,7,"15,400,260,078,950,304","2,652"
3 Oct 2023,1,7,"14,122,020,878,530,400","2,439"
4 Oct 2023,1,6,"14,229,614,694,479,908","2,358"
5 Oct 2023,1,6,"21,800,015,509,757,624","3,915"
6 Oct 2023,1,6,"14,198,811,051,737,816","2,356"
7 Oct 2023,1,7,"13,965,398,462,661,080","2,381"
8 Oct 2023,1,7,"15,857,999,260,751,632","2,710"
9 Oct 2023,1,6,"16,394,977,141,080,266","2,860"
10 Oct 2023,1,6,"13,096,959,572,098,496","2,269"
11 Oct 2023,1,7,"8,766,852,163,531,478","1,647"
12 Oct 2023,1,7,"8,780,856,188,695,640","1,587"
13 Oct 2023,1,6,"12,067,113,015,399,626","2,091"
14 Oct 2023,1,7,"14,632,292,174,733,944","2,497"
15 Oct 2023,1,6,"13,034,098,308,337,132","2,241"
16 Oct 2023,1,6,"17,071,333,880,306,096","2,835"
